,old.sampleid,sampleid,season,delta13c,delta15n,c_n_ratio,delta34s,species.x,role.x,sitename,sitecode,species.y,role.y,delta2h,ampl,p_h
1,SC-S17-198-1,SC-S17-198-1,summer,-25.33,12.64,3.67,NA,common shiner,invertivore,Caughell 17,17SC,common shiner,invertivore,-121.03,5467,7
2,SC-S17-198-2,SC-S17-198-2,summer,-25.12,11.69,3.25,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
3,SC-S17-198-3,SC-S17-198-3,summer,-25.75,11.7,3.73,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
4,SC-S17-198-4,SC-S17-198-4,summer,-25.65,12.26,3.62,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
5,SC-S17-198-5,SC-S17-198-5,summer,-25.04,12.24,3.58,NA,common shiner,invertivore,Caughell 17,17SC,common shiner,invertivore,-118.82,5579,7
6,SC-S17-198-6,SC-S17-198-6,summer,-25.09,11.93,3.62,NA,common shiner,invertivore,Caughell 17,17SC,common shiner,invertivore,-107.96,5297,6.9
7,SC-S17-198-7,SC-S17-198-7,summer,-25.02,12.3,3.72,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
8,SC-S17-198-8,SC-S17-198-8,summer,-25.27,11.63,3.67,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
9,SC-S17-198-9,SC-S17-198-9,summer,-24.98,11.74,3.63,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
10,SC-S17-198-10,SC-S17-198-10,summer,-24.96,12.52,3.74,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
11,SC-F17-198-1,SC-F17-198-1,fall,-24.92,11.53,3.48,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
12,SC-F17-198-2,SC-F17-198-2,fall,-25.03,11.86,3.4,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
13,SC-F17-198-3 AVG,SC-F17-198-3,fall,-25.23,12.06,3.39,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
14,SC-F17-198-4,SC-F17-198-4,fall,-25.1,12.55,3.41,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
15,SC-F17-198-5,SC-F17-198-5,fall,-25.03,11.24,3.34,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
