old.sampleid,sampleid,season,delta13c,delta15n,c_n_ratio,delta34s,species,role
SC-S17-198-1,SC-S17-198-1,summer,-25.33,12.64,3.67,,common shiner,invertivore
SC-S17-198-2,SC-S17-198-2,summer,-25.12,11.69,3.25,,common shiner,invertivore
SC-S17-198-3,SC-S17-198-3,summer,-25.75,11.7,3.73,,common shiner,invertivore
SC-S17-198-4,SC-S17-198-4,summer,-25.65,12.26,3.62,,common shiner,invertivore
SC-S17-198-5,SC-S17-198-5,summer,-25.04,12.24,3.58,,common shiner,invertivore
SC-S17-198-6,SC-S17-198-6,summer,-25.09,11.93,3.62,,common shiner,invertivore
SC-S17-198-7,SC-S17-198-7,summer,-25.02,12.3,3.72,,common shiner,invertivore
SC-S17-198-8,SC-S17-198-8,summer,-25.27,11.63,3.67,,common shiner,invertivore
SC-S17-198-9,SC-S17-198-9,summer,-24.98,11.74,3.63,,common shiner,invertivore
SC-S17-198-10,SC-S17-198-10,summer,-24.96,12.52,3.74,,common shiner,invertivore
SC-F17-198-1,SC-F17-198-1,fall,-24.92,11.53,3.48,,common shiner,invertivore
SC-F17-198-2,SC-F17-198-2,fall,-25.03,11.86,3.4,,common shiner,invertivore
SC-F17-198-3 AVG,SC-F17-198-3,fall,-25.23,12.06,3.39,,common shiner,invertivore
SC-F17-198-4,SC-F17-198-4,fall,-25.1,12.55,3.41,,common shiner,invertivore
SC-F17-198-5,SC-F17-198-5,fall,-25.03,11.24,3.34,,common shiner,invertivore
SC-F17-198-6,SC-F17-198-6,fall,-25.15,10.22,3.33,,common shiner,invertivore
SC-F17-198-7,SC-F17-198-7,fall,-24.84,11.5,3.32,,common shiner,invertivore
SC-F17-198-8,SC-F17-198-8,fall,-25.43,12.62,3.38,,common shiner,invertivore
SC-F17-198-9,SC-F17-198-9,fall,-24.6,11.87,3.4,,common shiner,invertivore
SC-F17-198-10,SC-F17-198-10,fall,-24.82,11.91,3.32,,common shiner,invertivore
SC-S17-212-1,SC-S17-212-1,summer,-24.73,10.07,3.59,0.01,creek chub,cc
SC-S17-212-2,SC-S17-212-2,summer,-24.33,11.14,3.32,-0.1,creek chub,cc
SC-S17-212-4,SC-S17-212-4,summer,-24.62,9.77,3.18,0.04,creek chub,cc
SC-S17-212-5,SC-S17-212-5,summer,-24.51,10.63,3.24,-0.08,creek chub,cc
SC-S17-212-7,SC-S17-212-7,summer,-25.01,10.21,3.62,-0.14,creek chub,cc
SC-S17-212-8 AVG,SC-S17-212-8,summer,-25,10.78,3.46,-0.26,creek chub,cc
SC-S17-212-12,SC-S17-212-12,summer,-24.76,10.59,3.47,-0.16,creek chub,cc
SC-S17-212-14,SC-S17-212-14,summer,-24.47,11.26,3.26,0.12,creek chub,cc
SC-S17-212-15,SC-S17-212-15,summer,-24.47,9.73,3.38,0.25,creek chub,cc
SC-S17-212-16,SC-S17-212-16,summer,-24.96,10.11,3.65,0.15,creek chub,cc
SC-S17-201-1,SC-S17-201-1,summer,-26.18,11.06,3.4,,spottail shiner,herbivore
SC-S17-201-2,SC-S17-201-2,summer,-25.67,10.93,3.38,,spottail shiner,herbivore
SC-S17-TER-1,SC-S17-TER-1,summer,-26.09,-0.38,3.92,1.15,european garden snail,terbase
SC-S17-TER-2,SC-S17-TER-2,summer,-31.04,6.04,6.74,-1.47,caterpillar,terbase
SC-S17-AQB-1,SC-S17-AQB-1,summer,-28.43,9.47,4.48,-1.28,mayfly,aqbase
SC-F17-212-1,SC-F17-212-1,fall,-25.21,9.97,3.26,,creek chub,cc
SC-F17-212-2,SC-F17-212-2,fall,-24.96,8.71,3.53,,creek chub,cc
SC-F17-212-3,SC-F17-212-3,fall,-24.85,9.37,3.32,,creek chub,cc
SC-F17-212-6 AVG,SC-F17-212-6,fall,-25.7,10.54,3.46,,creek chub,cc
SC-F17-212-4,SC-F17-212-4,fall,-24.7,9.27,3.32,,creek chub,cc
SC-F17-212-5,SC-F17-212-5,fall,-25.18,10.76,3.31,,creek chub,cc
SC-F17-212-11,SC-F17-212-11,fall,-25.12,11.19,3.46,,creek chub,cc
SC-F17-212-12,SC-F17-212-12,fall,-25.3,10.95,3.42,,creek chub,cc
SC-F17-212-13,SC-F17-212-13,fall,-24.93,10.38,3.4,,creek chub,cc
SC-F17-341-1,SC-F17-341-1,fall,-25.03,13.65,3.21,,johnny darter,invertivore
SC-F17-341-2,SC-F17-341-2,fall,-25.52,13.01,3.21,,johnny darter,invertivore
SC-F17-341-4,SC-F17-341-4,fall,-25.29,12.19,3.29,,johnny darter,invertivore
SC-F17-341-6,SC-F17-341-6,fall,-25.38,13.08,3.24,,johnny darter,invertivore
SC-F17-341-8,SC-F17-341-8,fall,-24.87,12.36,3.26,,johnny darter,invertivore
SC-F17-341-9,SC-F17-341-9,fall,-24.99,13.11,3.23,,johnny darter,invertivore
SC-F17-341-10,SC-F17-341-10,fall,-24.81,12.41,3.26,,johnny darter,invertivore
SC-F17-208-1 AVG,SC-F17-208-1,fall,-26.5,12.41,3.32,-1.84,bluntnose minnow,detritivore
SC-F17-341-16,SC-F17-341-16,fall,-25.9,12.81,3.25,,johnny darter,invertivore
SC-F17-341-19,SC-F17-341-19,fall,-25.36,13.83,3.22,,johnny darter,invertivore
SC-F17-341-20,SC-F17-341-20,fall,-26.81,14.83,3.24,,johnny darter,invertivore
SC-F17-208-2,SC-F17-208-2,fall,-26.32,12.54,3.47,-2.22,bluntnose minnow,detritivore
SC-F17-208-3,SC-F17-208-3,fall,-27.27,13.15,3.49,-2.14,bluntnose minnow,detritivore
SC-F17-208-4,SC-F17-208-4,fall,-26.53,13.06,3.38,-2.18,bluntnose minnow,detritivore
SC-F17-208-5,SC-F17-208-5,fall,-26.5,12.69,3.39,-2.05,bluntnose minnow,detritivore
SC-F17-208-6,SC-F17-208-6,fall,-26.43,12.63,3.35,-2.37,bluntnose minnow,detritivore
SC-F17-208-7,SC-F17-208-7,fall,-27.14,12.99,3.39,-2.27,bluntnose minnow,detritivore
SC-F17-208-8,SC-F17-208-8,fall,-26.87,13.61,3.56,-2.21,bluntnose minnow,detritivore
SC-F17-208-9,SC-F17-208-9,fall,-27.04,13.45,3.53,-2.03,bluntnose minnow,detritivore
SC-F17-TER-1,SC-F17-TER-1,fall,-25.57,-1.93,4.42,1.64,european garden snail,terbase
SC-F17-AQB-1 AVG,SC-F17-AQB-1,fall,-28.8,8.66,4.66,0.35,mayfly,aqbase
SC-F17-163-1,SC-F17-163-1,fall,-26.1,12.3,3.26,-2.23,white sucker,detritivore
SC-F17-163-2,SC-F17-163-2,fall,-25.73,11.11,3.2,-2.35,white sucker,detritivore
SC-F17-163-3,SC-F17-163-3,fall,-25.65,12.35,3.3,-2.34,white sucker,detritivore
SC-F17-163-4,SC-F17-163-4,fall,-25.84,11.72,3.27,-2.27,white sucker,detritivore
SC-F17-163-5,SC-F17-163-5,fall,-25.94,12.16,3.29,-2.08,white sucker,detritivore
SC-F17-163-6,SC-F17-163-6,fall,-25.75,12.04,3.26,-2.03,white sucker,detritivore
SC-F17-163-7,SC-F17-163-7,fall,-28.79,13.57,3.43,-1.32,white sucker,detritivore
SC-F17-163-8,SC-F17-163-8,fall,-26.01,12.71,3.28,-2.22,white sucker,detritivore
SC-F17-163-9,SC-F17-163-9,fall,-24.75,11.83,3.14,-2.51,white sucker,detritivore
SC-F17-163-10,SC-F17-163-10,fall,-25.23,11.01,3.16,-2.37,white sucker,detritivore
KC-S17-198-1,KC-S17-198-1,summer,-27.28,12.37,3.15,,common shiner,invertivore
KC-S17-198-2,KC-S17-198-2,summer,-26.26,11.39,3.23,,common shiner,invertivore
KC-S17-198-3 AVG,KC-S17-198-3,summer,-25.95,11.63,3.19,,common shiner,invertivore
KC-S17-198-4,KC-S17-198-4,summer,-27.49,11.78,3.51,,common shiner,invertivore
KC-S17-198-5,KC-S17-198-5,summer,-26.4,13.45,3.32,,common shiner,invertivore
