sampleid,sitename,sitecode,species,role,delta2h,ampl,p_h
BG-S17-163-1,Gilvesy 17,17BG,white sucker,detritivore,-106.05,5467,7
BG-S17-210-15,Gilvesy 17,17BG,blacknose dace,invertivore,-102.1,5869,6.7
BG-S17-210-3,Gilvesy 17,17BG,blacknose dace,invertivore,-98.97,4483,6.7
BG-S17-210-8,Gilvesy 17,17BG,blacknose dace,invertivore,-96.98,5142,6.7
BG-S17-AQB-1,Gilvesy 17,17BG,algae,algae,-158.2,8795,2.4
BG-S17-TER-1,Gilvesy 17,17BG,aphids,null,-220.62,5995,8.1
JC-S17-163-1,Csoff 17,17JC,white sucker,detritivore,-100.18,5262,6.2
JC-S17-163-2,Csoff 17,17JC,white sucker,detritivore,-111.36,5247,6.8
JC-S17-163-3,Csoff 17,17JC,white sucker,detritivore,-104.97,4615,6.7
JC-S17-212-1,Csoff 17,17JC,creek chub,cc,-87.6,6148,6.8
JC-S17-212-2,Csoff 17,17JC,creek chub,cc,-95.17,5652,6.7
JC-S17-212-3,Csoff 17,17JC,creek chub,cc,-84.53,4874,6.7
JC-S17-212-4,Csoff 17,17JC,creek chub,cc,-87.96,6208,6.8
JC-S17-AQB-1,Csoff 17,17JC,mayfly,aqbase,-112.94,6517,6.9
JC-S17-AQB-2,Csoff 17,17JC,algae,algae,-121.25,10064,2.9
JC-S17-AQB-3,Csoff 17,17JC,caddisfly,aqbase,-126.37,6216,7.1
JC-S17-TER-1,Csoff 17,17JC,aphids,terbase,-176.12,6190,8
KC-S17-165-5,Kettle Creek 17,17KC,northern hog sucker,herbivore,-122.78,5208,6.8
KC-S17-165-6,Kettle Creek 17,17KC,northern hog sucker,herbivore,-130.05,4070,5.5
KC-S17-165-9,Kettle Creek 17,17KC,northern hog sucker,herbivore,-119.81,5082,6.8
KC-S17-198-1,Kettle Creek 17,17KC,common shiner,invertivore,-123.1,6146,6.4
KC-S17-198-3,Kettle Creek 17,17KC,common shiner,invertivore,-119.26,6017,6.7
KC-S17-198-7,Kettle Creek 17,17KC,common shiner,invertivore,-112.2,5584,6.6
KC-S17-201-1,Kettle Creek 17,17KC,spottail shiner,planktivore,-128.59,4206,6.9
KC-S17-208-3,Kettle Creek 17,17KC,bluntnose minnow,detritivore,-136.75,4798,6.9
KC-S17-208-7,Kettle Creek 17,17KC,bluntnose minnow,detritivore,-136.37,5468,6.9
KC-S17-208-9,Kettle Creek 17,17KC,bluntnose minnow,detritivore,-140.23,5156,6.9
KC-S17-212-1,Kettle Creek 17,17KC,creek chub,cc,-107.06,5515,6.7
