sitecode,watershed,sitename,type,lat,long,order,w_width,max_depth,velocity,temp,discharge,conductivity,turbidity,salinity,pH,DO_percent,dissolved_O2,FDOM,algae_cover,buf_width,rip_grass_cover,rip_shrub_cover,rip_tree_cover,debris_cover,sinuosity,valley_slope,grain_size,drainage_area,p_ag_watershed,july nitrogen,aug nitrogen,july phosphorus,aug phosphorus
AC,Catfish Creek,Archie Coulter,Conservation Area,42.76388,-81.06083,5,12.43,72.4,0.395284708,25.9725,75.08188408,666.2,490.5,0.365,8.94,221.05,18.27,20.27,30,200.15,80,45,10,30,1.196,-12.85,160.5,148.306,0.828832,6.4,2.1,0.104,0.116
AT,Kettle Creek,Taylor,Conventional Farm,42.8638,-81.0836,3,4.26,30,0,20.8055,0.001,670.9,501,0.38,8.545,121.6,10.9,10.05,80,8.4,80,10,10,30,1.045,-0.7,0.25,6.66,0.93875,10.7,1.7,0.215,0.266
BG,Little Otter,Gilvesy,Mid-Impact,42.80164,-80.684,3,2.733333333,38,0.342326598,18.615,14.14359458,341.1,301,0.225,8.52,79.6,7.38,8.98,10,71.45,55,65,55,50,1.16,-2.65,0.25,7.119,0.779962,2.3,2.7,0.036,0.015
BS,Big Creek,Stewart,Conventional Farm,42.78823,-80.7876,1,1.79,4.5,0.279508497,12.827,1.140351015,450.4,400.5,0.3,8.6,88.15,9.34,2.48,10,90.75,10,65,50,80,1.26,-3.75,0.25,0.876,0.844039,8.8,10.1,0.041,0.125
BW,Big Creek,Backus Woods,Conservation Area,42.65916,-80.4676,3,3.766666667,72.8,0.385275875,18.122,34.28805517,363,301.5,0.225,8.89,91.65,8.65,10.19,50,255.95,30,80,65,80,2.83,-7.5,0.25,32.439,0.393516,1,0.6,0.017,0.019
DE,Big Creek,Dedricks Creek,Conservation Area,42.65916,-80.4676,3,5.17,25,0.293150985,18.868,35.41644995,367.8,300.5,0.225,8.98,99.55,50.74,10.78,10,395.95,10,45,65,50,1.635,-11.8,0.25,35.083,0.389087,1,0.9,0.015,0.029
P1,Kettle Creek,Perl 1,Conventional Farm,42.875,-81.098333,4,5.405,57,0.088388348,23.0605,44.77090362,583.9,441,0.33,8.665,83.2,7.07,26.77,10,66,65,65,40,30,1.14,-2.45,6,68.254,0.842125,4,1.5,NA,0.051
P2,Kettle Creek,Perl 2,Conventional Farm,42.8258333,-81.1202777,3,4.27,49.7,0.088388348,20.2885,0.001,678.7,482.5,0.33,8.745,81.6,7.265,16.99,30,31.72,65,50,50,10,1.255,-7.8,0.05,8.817,0.907344,11.4,1.9,0.034,0.047
P3,Kettle Creek,Perl 3,Conventional Farm,42.812568,-81.162518,1,2.443333333,38,0.088388348,22.721,0.350731403,1512.2,840.5,0.65,8.54,93.1,7.99,16.88,10,32.91666667,80,30,30,50,1.065,-3.833333333,0.05,0.69,0.778683,5.7,0,0.185,0.173
P4,Kettle Creek,Perl 4,Mid-Impact,42.809468,-81.180463,2,0.91,28,0.153093109,14.863,0.078344812,401.7,326,0.245,8.73,62.15,-1.49,9.21,50,64.19,65,50,50,80,1.21,-11,0.25,2.483,0.823759,0.7,1.1,0.052,0.049
