,old.sampleid.x,sampleid,replicate,sitecode.x,species.x,role.x,delta13c,delta15n,c_n_ratio,old.sampleid.y,sitename,sitecode.y,species.y,role.y,delta2h,ampl,p_h
1,AC-S18-ALGAE-1,AC-S18-ALGAE-1,0,AC,algae,algae,-18.81152488,14.13002354,10.49772864,AC-S18-ALGAE-1,Archie Coulter,AC,algae,algae,-155.67,22769,2.3
2,AC-S18-AQB-1,AC-S18-AQB-1,0,AC,mayfly/caddisfly,aqbase,-29.01692998,13.14913045,5.498840532,AC-S18-AQB-1,Archie Coulter,AC,mayfly/caddisfly,aqbase,-152.1,18707,6.5
3,AC-S18-DETRITUS-1,AC-S18-DETRITUS-1,0,AC,detritus,det,-28.77225283,5.468514142,23.24379588,AC-S18-DETRITUS-1,Archie Coulter,AC,detritus,det,-101.02,28165,6
4,AC-S18-SNAILS-1,AC-S18-SNAILS-1,0,AC,european garden snail,terbase,-26.96282582,-2.71879539,4.94833291,AC-S18-SNAILS-1,Archie Coulter,AC,european garden snail,terbase,-79.77,19209,6.6
5,AC-S18-198-1,AC-S18-198-1,0,AC,common shiner,invertivore,-25.891,16.953,3.503677833,NA,NA,NA,NA,NA,NA,NA,NA
6,AC-S18-212-1,AC-S18-212-1,0,AC,creek chub,cc,-26.388,15.105,3.335764091,AC-S18-212-1,Archie Coulter,AC,creek chub,cc,-109.66,14243,7
7,AC-S18-212-2,AC-S18-212-2,0,AC,creek chub,cc,-25.391,15.483,3.298812458,AC-S18-212-2,Archie Coulter,AC,creek chub,cc,-109.52,16880,6.7
8,AC-S18-212-3,AC-S18-212-3,0,AC,creek chub,cc,-26.076,15.504,3.367080468,AC-S18-212-3,Archie Coulter,AC,creek chub,cc,-111.37,17331,6.8
9,AC-S18-212-4,AC-S18-212-4,0,AC,creek chub,cc,-24.509,11.338,3.341681557,AC-S18-212-4,Archie Coulter,AC,creek chub,cc,-103.94,12847,5.9
10,AC-S18-212-5,AC-S18-212-5,0,AC,creek chub,cc,-24.09,10.848,3.368839378,AC-S18-212-5,Archie Coulter,AC,creek chub,cc,-112.74,14208,6.4
11,AC-S18-212-MT1,AC-S18-212-MT1,0,AC,creek chub,cc,-25.373,16.302,3.303369628,AC-S18-212-MT1,Archie Coulter,AC,creek chub,cc,-110.49,17029,7
