old sampleid,sampleid,replicate,sitecode,species,role,delta13c,delta15n,c_n_ratio
AC-S18-ALGAE-1,AC-S18-ALGAE-1,0,AC,algae,algae,-18.81152488,14.13002354,10.49772864
AC-S18-AQB-1,AC-S18-AQB-1,0,AC,mayfly/caddisfly,aqbase,-29.01692998,13.14913045,5.498840532
AC-S18-DETRITUS-1,AC-S18-DETRITUS-1,0,AC,detritus,det,-28.77225283,5.468514142,23.24379588
AC-S18-SNAILS-1,AC-S18-SNAILS-1,0,AC,european garden snail,terbase,-26.96282582,-2.71879539,4.94833291
AC-S18-198-1,AC-S18-198-1,0,AC,common shiner,invertivore,-25.891,16.953,3.503677833
AC-S18-212-1,AC-S18-212-1,0,AC,creek chub,cc,-26.388,15.105,3.335764091
AC-S18-212-2,AC-S18-212-2,0,AC,creek chub,cc,-25.391,15.483,3.298812458
AC-S18-212-3,AC-S18-212-3,0,AC,creek chub,cc,-26.076,15.504,3.367080468
AC-S18-212-4,AC-S18-212-4,0,AC,creek chub,cc,-24.509,11.338,3.341681557
AC-S18-212-5,AC-S18-212-5,0,AC,creek chub,cc,-24.09,10.848,3.368839378
AC-S18-212-MT1,AC-S18-212-MT1,0,AC,creek chub,cc,-25.373,16.302,3.303369628
AC-S18-341-8,AC-S18-341-8,0,AC,johnny darter,invertivore,-26.118,18.809,3.480099199
AC-S18-341-9,AC-S18-341-9,0,AC,johnny darter,invertivore,-25.549,18.389,3.304861134
AC-S18-ALGAE-2,AC-S18-ALGAE-2,0,AC,algae,algae,-18.378,13.958,11.87657889
AC-S18-ALGAE-3,AC-S18-ALGAE-3,0,AC,algae,algae,-18.2,14.106,12.16980453
AC-S18-AQB-2,AC-S18-AQB-2,0,AC,mayfly/caddisfly,aqbase,-28.84,13.123,5.4762578
AC-S18-DETRITUS-2,AC-S18-DETRITUS-2,0,AC,detritus,det,-28.05,6.996,24.89049493
AC-S18-DETRITUS-3,AC-S18-DETRITUS-3,0,AC,detritus,det,-28.231,6.969,23.82962279
AC-S18-GOLDENROD-1 A,AC-S18-GOLDENROD-1 A,1,AC,goldenrod,terpp,-30.731,2.794,26.01477909
AC-S18-GOLDENROD-1 B,AC-S18-GOLDENROD-1 B,1,AC,goldenrod,terpp,-31.022,2.635,25.41727257
AC-S18-GOLDENROD-1 C,AC-S18-GOLDENROD-1 C,1,AC,goldenrod,terpp,-30.974,2.691,26.02450711
AC-S18-GOLDENROD-1,AC-S18-GOLDENROD-1,0,AC,goldenrod,terpp,-30.909,2.706666667,25.81885292
AC-S18-GOLDENROD-2,AC-S18-GOLDENROD-2,0,AC,goldenrod,terpp,-30.883,2.624,25.76125357
AC-S18-GOLDENROD-3,AC-S18-GOLDENROD-3,0,AC,goldenrod,terpp,-30.875,2.756,25.80691392
AC-S18-SNAILS-2,AC-S18-SNAILS-2,0,AC,european garden snail,terbase,-26.75,-2.161,4.844507985
BG-S18-ALGAE-1,BG-S18-ALGAE-1,0,BG,algae,algae,-24.327,4.018,19.02858941
BG-S18-ALGAE-2,BG-S18-ALGAE-2,0,BG,algae,algae,-24.27,4.561,18.91546827
BG-S18-ALGAE-3 A,BG-S18-ALGAE-3 A,1,BG,algae,algae,-24.449,4.429,19.22785064
BG-S18-ALGAE-3 B,BG-S18-ALGAE-3 B,1,BG,algae,algae,-24.732,4.234,19.1378072
