old sampleid,sampleid,sitename,sitecode,species,role,delta2h,ampl,p_h
AC-S18-212-1,AC-S18-212-1,Archie Coulter,AC,creek chub,cc,-109.66,14243,7
AC-S18-212-2,AC-S18-212-2,Archie Coulter,AC,creek chub,cc,-109.52,16880,6.7
AC-S18-212-3,AC-S18-212-3,Archie Coulter,AC,creek chub,cc,-111.37,17331,6.8
AC-S18-212-4,AC-S18-212-4,Archie Coulter,AC,creek chub,cc,-103.94,12847,5.9
AC-S18-212-5,AC-S18-212-5,Archie Coulter,AC,creek chub,cc,-112.74,14208,6.4
AC-S18-212-MT1,AC-S18-212-MT1,Archie Coulter,AC,creek chub,cc,-110.49,17029,7
AC-S18-341-9,AC-S18-341-9,Archie Coulter,AC,johnny darter,invertivore,-115.08,5136,6.6
AC-S18-ALGAE-1,AC-S18-ALGAE-1,Archie Coulter,AC,algae,algae,-155.67,22769,2.3
AC-S18-ALGAE-2,AC-S18-ALGAE-2,Archie Coulter,AC,algae,algae,-155.87,20990,1.9
AC-S18-ALGAE-3,AC-S18-ALGAE-3,Archie Coulter,AC,algae,algae,-155.56,17121,1.7
AC-S18-AQB-1,AC-S18-AQB-1,Archie Coulter,AC,mayfly/caddisfly,aqbase,-152.1,18707,6.5
AC-S18-AQB-2,AC-S18-AQB-2,Archie Coulter,AC,mayfly/caddisfly,aqbase,-99.76,4408,1.8
AC-S18-DETRITUS-1,AC-S18-DETRITUS-1,Archie Coulter,AC,detritus,det,-101.02,28165,6
AC-S18-DETRITUS-2,AC-S18-DETRITUS-2,Archie Coulter,AC,detritus,det,-102.4,22978,5.8
AC-S18-DETRITUS-3,AC-S18-DETRITUS-3,Archie Coulter,AC,detritus,det,-142.27,17435,3.6
AC-S18-GROD-1,AC-S18-GOLDENROD-1,Archie Coulter,AC,goldenrod,terpp,-143.95,18050,7.4
AC-S18-GROD-2,AC-S18-GOLDENROD-2,Archie Coulter,AC,goldenrod,terpp,-137.75,15357,6.2
AC-S18-GROD-3,AC-S18-GOLDENROD-3,Archie Coulter,AC,goldenrod,terpp,-140.55,15331,6.1
AC-S18-SNAILS-1,AC-S18-SNAILS-1,Archie Coulter,AC,european garden snail,terbase,-79.77,19209,6.6
AC-S18-SNAILS-2,AC-S18-SNAILS-2,Archie Coulter,AC,european garden snail,terbase,-80.02,18952,6.7
AT2-18-AL-01,AT2-18-AL-01,Taylor,AT,algae,algae,-159.86,,
AT2-18-AL-02,AT2-18-AL-02,Taylor,AT,algae,algae,-159.52,,
AT2-18-AL-03,AT2-18-AL-03,Taylor,AT,algae,algae,-160.37,,
AT2-18-CC-01,AT2-18-CC-01,Taylor,AT,creek chub,cc,-110.61,,
AT2-18-CC-02,AT2-18-CC-02,Taylor,AT,creek chub,cc,-126,,
