sitecode.x,sitename,date,reachdistance,volts,hertz,reachtype,pass1start,pass1end,pass2start,pass2end,pass3start,pass3end,totaltime,,mt_setdate,mt_settime,mt_enddate,mt_endtime,uptrap,midtrap,downtrap,mt_notes,b.darter.tl,bn.minnow.tl,b.stickleback.tl,b.trout.tl,c.mudminnow.tl,c.carp.tl,c.shiner.tl,c.chub.tl,g.shiner.tl,j.darter.tl,l.chub.tl,lm.bass.tl,l.darter.tl,l.perch.tl,ln.dace.tl,madtom.tl,m.sculpin.tl,nh.sucker.tl,nr.dace.tl,pumpkinseed.tl,r.darter.tl,r.trout.tl,r.bass.tl,sm.bass.tl,stonecat.tl,unknown.tl,u.cyprinid.tl,w.crappie.tl,w.sucker.tl,y.perch.tl,bluegill.tl,bs.darter.w,bn.minnow.w,b.stickleback.w,b.trout.w,c.mudminnow.w,c.carp.w,c.shiner.w,c.chub.w,g.shiner.w,j.darter.w,l.chub.w,lm.bass.w,l.darter.w,l.perch.w,ln.dace.w,madtom.w,m.sculpin.w,nh.sucker.w,nr.dace.w,pumpkinseed.w,r.darter.w,r.trout.w,r.bass.w,sm.bass.w,stonecat.w,unknown.w,u.cyprinid.w,w.crappie.w,w.sucker.w,y.perch.w,bluegill.w,preyfish
AC,Archie Coulter,2018-08-15,40,220,50,rifflepool,9:55,10:30,10:50,11:25,12:00,12:35,1:45,,2018-08-16,13:30,2018-08-17,11:15,empty,"fish, crayfish",empty,,65.25,,,,,,92,54.2,,36.25,,,,,,,,,,,,,43.66666667,,35,,,,,,,3.025,,,,,,7.7,1.88,,0.483333333,,,,,,,,,,,,,3.216666667,,0.5,,,,,,,12
AT,Taylor,2018-07-27,40,,,channel,10:30,11:00,11:30,11:45,12:50,13:15,1:10,,,,,,empty,empty,empty,no form filled out,,,27,,,,,61.375,,,,,,,,,,,,,,,,,,,,,46.45454545,,,,,0.162162162,,,,,1.090909091,,,,,,,,,,,,,,,,,,,,,0.504807693,,,222
BG,Gilvesy,2018-08-28,40,200,50,s-curve,11:35,12:00,12:30,12:50,12:55,13:10,1:00,,2018-08-28,,2018-08-29,,fish,fish,empty,no dates/time on form,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
BS,Stewart,2018-08-28,40,220,50,s-curve,14:36,15:00,15:20,15:40,15:50,16:10,1:04,,2018-08-28,,2018-08-29,,empty,empty,empty,no form filled out,,,,,,,,,,,,,,,,,,,,,,138.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.775,,,,,,,,,,0
BW,Backus Woods,2018-07-03,40,200,60,s-curve,12:15,,,,,,1:40,time estimated,2018-07-04,16:00,2018-07-05,8:45,empty,empty,fish,,,62,,241,,,,,,47.66666667,,,,,,,,,,,,,,,,,,,181.8,,,,2,,155.25,,,,,,1,,,,,,,,,,,,,,,,,,,100.26,,,14
DE,Dedricks,2018-08-22,40,240,50,s-curve,12:32,13:20,13:40,14:35,16:00,16:33,2:16,,2018-08-22,17:00,2018-08-23,10:30,fish,fish,empty,,,62.75,,255.5,51.33333333,,,88,,42.54285714,,71,,,,,,,,,,,,,,,,,109.5,,,,2.25,,163,1.5,,,9.035714286,,0.677777778,,6,,,,,,,,,,,,,,,,,18,,,79
EP1,Perl 1,2018-07-26,40,200,50,rifflepool,10:50,11:30,11:50,12:20,12:30,13:00,1:40,some fish accidentally re-released in reach after pass 1. Pass 2 and 3 time estimated,2018-07-26,,2018-07-27,,empty,empty,empty,no form filled out,76,51,,,,,56.75,85.20930233,,39.51428571,,,,,,,,141.6666667,,,,,102.5,,123,,,,168.3333333,,,4.25,1.875,,,,,2.7375,10.59772727,,1.141666667,,,,,,,,32.66666667,,,,,39.0375,,22.5,,,,61.55,,,42
EP2,Perl 2,2018-08-02,40,200,50,channel,9:45,10:15,12:45,13:10,14:33,14:55,1:17,no flow. River partially dried up,2018-08-02,,2018-08-03,,empty,empty,empty,no form filled out,,58.14285714,33.6,,,,29.6875,39.71962617,55,22.19277108,,,41.5,,,,,,,,,,,,,,,,45.52238806,,,,2.385714286,0.326315789,,,,0.541176471,2.151694915,2,0.15483871,,,0.5,,,,,,,,,,,,,,,,4.149264706,,,169
EP3,Perl 3,2018-07-24,40,,,channel,13:00,13:50,14:10,14:45,15:00,15:20,1:45,,2018-07-24,16:50,2018-07-25,10:24,empty,empty,fish,,,,34.7,,,,,61.80769231,,,,,,,,,,,,,,,,,,,,,,,,,,0.515,,,,,4.898076923,,,,,,,,,,,,,,,,,,,,,,,,19
EP4,Perl 4,2018-07-31,40,,,rifflepool,10:15,11:00,12:20,13:10,14:30,15:00,2:05,,2018-07-31,16:00,2018-08-01,,fish,fish,fish,,,,39.38461538,,,,,94.875,,,,,,,,,,,,,,,,,,,,,,,,,,0.510062893,,,,,0.779423869,,,,,,,,,,,,,,,,,,,,,,,,174
FP,Five Points,2018-07-23,40,200,50,s-curve,11:50,12:25,12:35,13:10,13:30,14:00,1:40,,2018-07-23,16:00,2018-07-24,10:40,fish,empty,empty,,,,35.2,,68,,,,,,58,,,,,,,,65,,,,,,,,,,40,,,,,0.54,,3.75,,,,,,2.5,,,,,,,,2.5,,,,,,,,,,0.5,,,32
GF,Garrod,2018-08-11,40,200,50,rifflepool,10:45,11:05,12:45,13:30,13:50,14:30,1:45,,2018-08-11,,2018-08-12,,empty,empty,empty,no form filled out,65,84,,,,,75.5,,,48.75,,,,,,,,,,,,,,72.5,120,84,,,,,,2.285714286,6,,,,,4,,,1.25,,,,,,,,,,,,,,4,20,5.5,,,,,,6
HC,Hawkcliff,2018-08-01,40,,,s-curve,10:15,10:45,11:20,11:45,12:15,12:35,1:15,,2018-08-01,14:30,2018-08-02,9:40,fish,fish,fish,,,,,,,,,76.765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.019444444,,,,,,,,,,,,,,,,,,,,,,,,36
HT,Hawkins,2018-07-10,40,240,50,channel,10:45,12:00,12:45,13:25,13:50,14:15,2:20,,2018-07-10,16:45,2018-07-11,10:00,fish,fish,fish,"there was a 4th trap set from 2018-07-11 @ 10:15 to 2018-07-12 @ 10:50, which also got fish",,,35.08823529,,,,,,,58,,,35.33333333,,,,,,,,,,,,,,,,47.75,,,,,0.541176471,,,,,,,2,,,0.5,,,,,,,,,,,,,,,,1.125,,,39
JC,Csoff,2018-07-05,40,,,s-curve,,,,,,,1:40,time estimated,,,,,,,,probably no minnow trap set,,,,,,,,126,,,,,,,,,66.5,,,,,,128,,,,,,217,,,,,,,,,,21.21428571,,,,,,,,,3.4,,,,,,56.66666667,,,,,,174.25,,,0
JW,White,2018-07-30,40,140,40,rifflepool,12:25,13:10,15:10,16:00,16:20,17:00,2:15,end times estimated,2018-07-30,18:00,2018-07-31,11:00,fish,fish,empty,,52.41176471,60.64285714,,,,92,81.71428571,88.78787879,,32.67226891,,74,,,,,,,,76,,,88,77.25,,,,,69.36363636,,,1.441176471,2.321428571,,,,12.5,6.392857143,12.68484848,,0.53381295,,4.75,,,,,,,,6,,,12.5,6,,,,,7.708333333,,,155
KC,Kettle Creek,2018-08-07,40,,,rifflepool,13:40,14:30,14:50,15:15,17:30,17:45,1:30,,2018-08-07,18:30,2018-08-08,10:09,fish,fish,empty,,51.33333333,63.25,,,,,64.88235294,60.30434783,,43.23529412,,,,,,161,,129.3125,,,,,56.47058824,,84.92307692,,,36,82.88888889,,,0.975,2.9375,,,,,1.32037037,5.1515625,,0.837894737,,,,,,38,,36.90625,,,,,9.617647059,,10.89230769,,,0.5,13.72222222,,,104
LEF,Lake Erie Farms,2018-07-04,40,,,channel,,,,,,,1:40,time estimated,,,,,,,,probably no minnow trap set,72.28571429,,,,,,,,,,,,,92.5,,,52.66666667,,,,,,,,,,,,45,104.75,59,3.428571429,,,,,,,,,,,,,7.7,,,3.483333333,,,,,,,,,,,,0.5,12.125,3,0
LEST,Lake Erie Salmon and Trout Club,2018-08-10,40,,,rifflepool,11:00,11:35,12:30,12:55,13:05,13:45,1:40,,2018-08-14,19:15,2018-08-15,8:30,empty,fish,"fish, crayfish",,,,,,,,,40.78947368,,,,,,,,,,,,,,54.42857143,,,,,,,,,,,,,,,,,0.936842105,,,,,,,,,,,,,,1.614285714,,,,,,,,,,20
MT,McTavish,2018-07-16,40,,,s-curve,10:30,,,,,,1:40,,2018-07-16,,2018-07-17,,empty,empty,empty,no form filled out,,,48.73076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
