sitecode,sitename,pass,species,number,sampleid,forkmm,totalmm,weight,kept,sex,stomach,stomachsource,stomachTP
AC,Archie Coulter,1,creek chub,1,AC-S18-212-1,47,49,1.5,Y,M,detritus,terrestrial,1
AC,Archie Coulter,1,rock bass,1,AC-S18-311-1,84,86,12.5,N,,,,
AC,Archie Coulter,1,rock bass,2,AC-S18-311-2,51,53,4,N,,,,
AC,Archie Coulter,1,blackside darter,1,AC-S18-344-1,NA,76,5.5,Y,F,detritus,terrestrial,1
AC,Archie Coulter,1,johnny darter,1,AC-S18-341-1,NA,35,0.5,N,,,,
AC,Archie Coulter,2,rock bass,3,AC-S18-311-3,NA,25,0.5,N,,,,
AC,Archie Coulter,1,blackside darter,2,AC-S18-344-2,NA,60,2,Y,F,detritus,terrestrial,1
AC,Archie Coulter,1,johnny darter,2,AC-S18-341-2,NA,35,0.5,N,,,,
AC,Archie Coulter,1,blackside darter,3,AC-S18-344-3,NA,60,2,Y,F,algae/detritus,both,1
AC,Archie Coulter,1,johnny darter,3,AC-S18-341-3,NA,40,0.5,N,,,,
AC,Archie Coulter,1,johnny darter,4,AC-S18-341-4,NA,36,0.5,N,,,,
AC,Archie Coulter,2,creek chub,2,AC-S18-212-2,60,65,2.9,Y,M,algae/chiton/insects/detritus,both,1.5
AC,Archie Coulter,1,johnny darter,5,AC-S18-341-5,NA,35,0.3,N,,,,
AC,Archie Coulter,1,johnny darter,6,AC-S18-341-6,NA,30,0.3,N,,,,
AC,Archie Coulter,1,johnny darter,7,AC-S18-341-7,NA,37,0.4,N,,,,
AC,Archie Coulter,1,blackside darter,4,AC-S18-344-4,NA,65,2.6,Y,F,detritus,terrestrial,1
AC,Archie Coulter,1,johnny darter,8,AC-S18-341-8,NA,45,1,Y,M,detritus,terrestrial,1
AC,Archie Coulter,1,johnny darter,9,AC-S18-341-9,NA,45,1,Y,M,detritus,terrestrial,1
AC,Archie Coulter,2,johnny darter,10,AC-S18-341-10,NA,35,0.4,N,,,,
AC,Archie Coulter,2,rock bass,4,AC-S18-311-4,45,47,1.6,N,,,,
AC,Archie Coulter,2,creek chub,3,AC-S18-212-3,50,54,1.7,Y,F,detritus/insects,unknown,1.5
AC,Archie Coulter,2,rock bass,5,AC-S18-311-5,25,26,0.5,N,,,,
AC,Archie Coulter,2,rock bass,6,AC-S18-311-6,23,25,0.2,N,,,,
AC,Archie Coulter,2,stonecat,1,AC-S18-235-1,NA,35,0.5,N,,,,
AC,Archie Coulter,2,johnny darter,11,AC-S18-341-11,NA,31,0.2,N,,,,
AC,Archie Coulter,2,creek chub,4,AC-S18-212-4,45,48,1.3,Y,I,algae/detritus,both,1
AC,Archie Coulter,2,johnny darter,12,AC-S18-341-12,NA,31,0.2,N,,,,
AC,Archie Coulter,2,creek chub,5,AC-S18-212-5,50,55,2,Y,F,algae/detritus,both,1
AC,Archie Coulter,3,common shiner,1,AC-S18-198-1,85,92,7.7,Y,F,bugs/algae,both,1.5
BW,Backus Woods,1,brown trout,1,BW-S18-078-1,270,285,237,Y,M,"Cray Fish, Fly Beetle",both,2.5
BW,Backus Woods,1,brown trout,2,BW-S18-078-2,228,240,126,Y,F,"Grubs, insects, fish",both,3
BW,Backus Woods,1,brown trout,3,BW-S18-078-3,174,186,67.5,Y,M,Caddisfly larvae,aquatic,2
BW,Backus Woods,2,brown trout,4,BW-S18-078-4,184,196,71.5,Y,M,"Grubs, Flies",terrestrial,2
BW,Backus Woods,2,brown trout,5,BW-S18-078-5,269,255,216,Y,M,terrestrial and aquatic insects,both,2
BW,Backus Woods,2,brown trout,6,BW-S18-078-6,270,284,213.5,Y,F,Insects,unknown,2
BW,Backus Woods,1,white sucker,1,BW-S18-163-1,NA,255,137,Y,,detritus,terrestrial,1
BW,Backus Woods,2,white sucker,2,BW-S18-163-2,33,35,0.3,Y,M,,,
BW,Backus Woods,2,white sucker,3,BW-S18-163-3,274,290,254.5,Y,M,,,
BW,Backus Woods,2,white sucker,4,BW-S18-163-4,180,190,79,Y,M,detritus,terrestrial,1
BW,Backus Woods,2,white sucker,5,BW-S18-163-5,131,139,30.5,Y,M,,,
BW,Backus Woods,1,bluntnose minnow,1,BW-S18-208-1,57,62,2,N,,,,
BW,Backus Woods,1,johnny darter,1,BW-S18-341-1,NA,54,1.5,Y,F,unkown,unknown,
BW,Backus Woods,1,johnny darter,2,BW-S18-341-2,NA,48,1,Y,M,unkown,unknown,
