sitecode.x,PC1,PC2
AC,0.306702923,1.22083975
BW,4.198536578,-1.283258221
SC,-0.840100907,0.785869581
DE,4.020938035,-0.008135575
HT,-0.743642863,0.526198148
KC,-0.296048549,0.650630982
ST,0.131448915,0.459569395
PF,-0.800102794,0.319430515
P1,-0.415849389,0.894971996
P2,-2.034459131,-2.549027693
P3,-2.526087177,-0.567970941
PV,0.335830575,-0.673833758
UH,-1.056255669,-0.421246378
VN,-0.621445002,0.174705203
WW,-0.258592366,-0.362982311
WA,0.511158879,-0.095491531
JW,0.087967939,0.929730838
