sitecode,sitename,pass,species,number,sampleid,forkmm,totalmm,weight,kept,sex,stomach,stomachsource,notes,X,X.1
AC,Archie Coulter,1,creek chub,1,AC-S18-212-1,47,49,1.5,Y,M,detritus,aquatic,EC,,
AC,Archie Coulter,2,creek chub,2,AC-S18-212-2,60,65,2.9,Y,M,algae/choron/insects/detritus,aquatic,EC,,
AC,Archie Coulter,2,creek chub,3,AC-S18-212-3,50,54,1.7,Y,F,detritus/insects,unkown,,,
AC,Archie Coulter,2,creek chub,4,AC-S18-212-4,45,48,1.3,Y,I,algae/detritus,aquatic,EC,,
AC,Archie Coulter,2,creek chub,5,AC-S18-212-5,50,55,2,Y,F,algae/detritus,aquatic,EC,,
AC,Archie Coulter,MT2,creek chub,,AC-S18-212-MT1,,NA,NA,Y,,,,Pria #6,,
BW,Backus Woods,spot check,creek chub,1,BW-S18-212-1,132,142,2.8,Y,,,,,,
BW,Backus Woods,MT3,creek chub,2,BW-S18-212-MT1,120,128,24,Y,F,,,,,
SC,Caughell,1,creek chub,1,SC-S18-212-1,64,68,3.5,Y,M,empty,unknown,Pria 1,,
SC,Caughell,1,creek chub,2,SC-S18-212-2,61,65,3,Y,I,insects algae,aquatic,Pria 2,,
SC,Caughell,1,creek chub,3,SC-S18-212-3,80,85,6.5,Y,M,pink bug/insects,unknown,Pria 3,,
SC,Caughell,1,creek chub,4,SC-S18-212-4,62,65,3,Y,I,algae,aquatic,Pria 4,,
SC,Caughell,1,creek chub,5,SC-S18-212-5,54,57,2,Y,M,algae,aquatic,Pria 5,,
SC,Caughell,1,creek chub,6,SC-S18-212-6,56,61,2.5,Y,I,worms,unkown,Pria 6,,
SC,Caughell,1,creek chub,7,SC-S18-212-7,64,68,3,Y,F,detritus/insects,unknown,Pria 7,,
SC,Caughell,2,creek chub,8,SC-S18-212-8,58,61,2.5,Y,F,tiny fish,aquatic,Pria 8,,
SC,Caughell,2,creek chub,9,SC-S18-212-9,64,68,3,Y,I,empty,none,Pria 9,,
SC,Caughell,2,creek chub,10,SC-S18-212-10,55,57,2,Y,F,"detritus, insects",unknown,Pria 10 (black parasites),,
SC,Caughell,2,creek chub,11,SC-S18-212-11,85,90,7.5,Y,F,fish/detritus,aquatic,Pria 11 (black pepper parasites),,
SC,Caughell,2,creek chub,12,SC-S18-212-12,48,51,1.5,Y,M,hard insect or cray,unknown,Pria 12 (black pepper parasites),,
SC,Caughell,2,creek chub,13,SC-S18-212-13,40,41,1,Y,I,detritus,aquatic,Pria 13,,
SC,Caughell,2,creek chub,14,SC-S18-212-14,60,65,2.5,Y,F,"detritus, insects",unknown,Pria 14,,
SC,Caughell,2,creek chub,15,SC-S18-212-15,108,115,18,Y,M,"decomposed fish, algae",aquatic,Pria 15,,
SC,Caughell,2,creek chub,16,SC-S18-212-16,54,57,2,Y,I,"detritus, insects",unknown,Pria 16,,
SC,Caughell,2,creek chub,17,SC-S18-212-17,92,97,9,Y,M,"detritus, insects",unknown,Pria 17,,
SC,Caughell,2,creek chub,18,SC-S18-212-18,50,33,1.5,Y,,,,,,
SC,Caughell,MT,creek chub,1,SC-S18-212-MT1,54,57,2.1,N,,,,,,
SC,Caughell,MT,creek chub,2,SC-S18-212-MT2,54,57,2.4,N,,,,,,
SC,Caughell,MT,creek chub,3,SC-S18-212-MT3,59,63,2.5,Y,I,milkbone/detritus,aquatic,Pria 19,,
SC,Caughell,MT,creek chub,4,SC-S18-212-MT4,60,64,3,Y,I,milkbone/detritus,aquatic,Pria 20,,
JC,Csoff,1,creek chub,1,JC-S18-212-1,88,94,7.5,Y,M,,none,,,
JC,Csoff,1,creek chub,2,JC-S18-212-2,104,108,13,Y,M,"Slug, algae",both,,,
JC,Csoff,3,creek chub,3,JC-S18-212-3,151,156,37.5,Y,M,Flies and plants,terrestrial,,,
JC,Csoff,3,creek chub,4,JC-S18-212-4,145,154,33.5,Y,M,,none,,,
JC,Csoff,3,creek chub,5,JC-S18-212-5,121,130,22.5,Y,M,Insects,unknown,,,
JC,Csoff,3,creek chub,6,JC-S18-212-6,113,119,18,Y,M,Insects,unknown,,,
JC,Csoff,3,creek chub,7,JC-S18-212-7,115,121,16.5,Y,I,detritus,aquatic,,,
DE,Dedrick's ,1,creek chub,1,DE-S18-212-1,60,65,1.5,Y,F,empty,unknown,,,
DE,Dedrick's ,1,creek chub,2,DE-S18-212-2,63,67,2.5,Y,M,insects,unknown,,,
DE,Dedrick's ,1,creek chub,3,DE-S18-212-3,74,79,4.5,Y,M,detritus/insects,unknown,,,
DE,Dedrick's ,1,creek chub,4,DE-S18-212-4,82,88,6.5,Y,,,,,,
DE,Dedrick's ,1,creek chub,5,DE-S18-212-5,90,97,8,Y,F,"fish, algae",aquatic,,,
DE,Dedrick's ,2,creek chub,6,DE-S18-212-6,135,142,26,Y,M,"algae, black sticks",aquatic,,,
DE,Dedrick's ,2,creek chub,7,DE-S18-212-7,139,146,29,Y,F,white goo/detritus,unknown,,,
DE,Dedrick's ,2,creek chub,8,DE-S18-212-8,40,43,0.5,N,,,,,,
DE,Dedrick's ,2,creek chub,9,DE-S18-212-9,41,43,0.5,N,,,,,,
DE,Dedrick's ,2,creek chub,10,DE-S18-212-10,37,39,0.5,N,,,,,,
DE,Dedrick's ,2,creek chub,11,DE-S18-212-11,106,109,12,Y,F,"algae, detritus",aquatic,P8,,
DE,Dedrick's ,2,creek chub,12,DE-S18-212-12,105,110,13.5,Y,F,"white goo, detritus",unknown,P9,,
DE,Dedrick's ,2,creek chub,13,DE-S18-212-13,110,115,14.5,Y,F,"detritus, insects",unknown,P10,,
DE,Dedrick's ,2,creek chub,14,DE-S18-212-14,85,89,7,Y,M,empty,unknown,P11,,
DE,Dedrick's ,spot check,creek chub,15,DE-S18-212-15,110,115,13.5,Y,,,,,,
HC,Hawkclif,MT1,creek chub,MT-1,HC-S18-212-MT1,52,55,2,N,,,,,,
HC,Hawkclif,MT3,creek chub,MT-2,HC-S18-212-MT2,59,65,3,N,,,,,,
HC,Hawkclif,MT3,creek chub,MT-3,HC-S18-212-MT3,54,58,1.5,N,,,,,,
HC,Hawkclif,MT3,creek chub,MT-4,HC-S18-212-MT4,56,60,2,N,,,,,,
HC,Hawkclif,MT3,creek chub,MT-5,HC-S18-212-MT5,63,66,3,N,,,,,,
HC,Hawkclif,1,creek chub,1,HC-S18-212-1,53,57,1.5,N,,,,,,
HC,Hawkclif,1,creek chub,2,HC-S18-212-2,36,39,0.5,N,,,,,,
HC,Hawkclif,1,creek chub,3,HC-S18-212-3,,35,0.5,N,,,,,,
HC,Hawkclif,1,creek chub,4,HC-S18-212-4,32,34,0.5,N,,,,,,
HC,Hawkclif,1,creek chub,5,HC-S18-212-5,60,64,2,N,,,,,,
HC,Hawkclif,1,creek chub,6,HC-S18-212-6,105,112,14.5,Y,M,"worms, insects",unknown,P1,,
HC,Hawkclif,1,creek chub,7,HC-S18-212-7,34,36,0.5,N,,,,,,
HC,Hawkclif,1,creek chub,8,HC-S18-212-8,37,40,0.5,N,,,,,,
HC,Hawkclif,1,creek chub,9,HC-S18-212-9,38,40,0.5,N,,,,,,
HC,Hawkclif,1,creek chub,10,HC-S18-212-10,35,37,0.5,N,,,,,,
HC,Hawkclif,1,creek chub,11,HC-S18-212-11,31,33,0.5,N,,,,,,
