"","sitecode.x","d13c_algae","d13c_aqbase","d13c_det","d13c_terbase","d15n_algae","d15n_aqbase","d15n_det","d15n_terbase","dh2_algae","dh2_aqbase","dh2_det","dh2_terbase"
"1","AC",-18.46317496,-28.92846499,-28.3510842766667,-26.85641291,14.0646745133333,13.136065225,6.47783804733333,-2.439897695,-155.7,-125.93,-115.23,-79.895
"2","AT",-23.5728487266667,NA,-27.7537055133333,-27.674611495,10.32360395,NA,6.572959935,7.33417350733333,-159.916666666667,NA,-113.393333333333,-126.248333333333
"3","BG",-24.3837777766667,NA,-27.3626666666667,-29.48146503,4.29922222233333,NA,1.99566666666667,1.29797634366667,-108.506666666667,NA,-115.063333333333,-137.486666666667
"4","BS",-27.6706666666667,-28.175,-27.0466666666667,-31.166,0.998333333333333,4.3445,0.601777777666667,1.89966666666667,-120.186666666667,-105.995,-116.246666666667,-105.443333333333
"5","BW",-32.037,-29.768,-28.259,-28.307,8.43633333333333,6.1195,2.45544444433333,0.138333333333333,-179.83,-101.715,-96.26,-100.64
"6","DE",-27.6045,NA,-28.2613333333333,-29.2203333333333,5.3075,NA,1.87533333333333,-0.225,-137.43,NA,-108.143333333333,-101.14
"7","EP1",-33.5303333333333,-29.508,-28.6273333333333,-26.144,11.999,9.52766666666667,5.28,2.17966666666667,-106.866666666667,-154.956666666667,-99.33,-83.05
"8","EP2",-31.6633333333333,NA,-29.4365555566667,NA,8.83966666666667,NA,3.72022222233333,NA,-113.466666666667,NA,-101.746666666667,NA
"9","EP3",-36.235,NA,-26.25525,NA,10.0075,NA,6.11309090925,NA,-112.865,NA,-103.305,NA
"10","EP4",-31.4882971425,NA,-27.7680149533333,-26.4657293766667,7.585144922,NA,0.349248132666667,0.731986771666667,-136.8175,NA,-107.69,-28.9233333333333
"11","FP",-30.45342165,NA,-27.8923333333333,-25.799,5.493899574,NA,6.515,-0.203,-107.655,NA,-103.63,-84.82
"12","GF",-22.86699832,-24.043342425,-28.5819587066667,-29.42901083,12.4160636033333,14.629383325,6.36597785566667,0.612901677,-173.22,-151.62,-113.466666666667,-98.15
"13","HC",-23.45063065,-29.23514333,-27.4740250766667,-28.1920775866667,9.71576028366667,12.162887935,1.48918863833333,1.03937090266667,-161.156666666667,-125.89,-115,-108.426666666667
"14","HT",-33.563,-26.918,-27.37325,-23.198,7.73133333333333,9.531,4.074875,-0.0483333333333333,-145.993333333333,-136.065,-102.53,-82.9133333333333
"15","JC",-33.775,-31.0959839,-28.1448474033333,-29.1907780633333,11.979,11.8361062133333,5.70764530233333,1.92346910433333,-111.196666666667,-118.816666666667,-101.886666666667,-140.416666666667
"16","JW",-19.6694873966667,-28.5208828,-27.7294872966667,-28.349777255,8.72325094533333,10.864467265,2.71044237233333,0.490386066,-158.806666666667,-132.755,-111.573333333333,-110.245
"17","KC",-20.3840834366667,NA,-27.7269719466667,-27.3438997375,10.93600176,NA,2.63742122666667,0.8218019735,-131.446666666667,NA,-100.263333333333,-92.95
"18","LEF",-29.88056049,NA,NA,-29.2283894866667,7.97963092966667,NA,NA,-0.164277354666667,-169.15,NA,NA,-122.06
"19","LEST",-20.1256666666667,-30.382,-25.5806666666667,-28.8256,5.54366666666667,7.3325,0.955333333333333,0.7448,-104.073333333333,-103.435,-97.84,-83.852
"20","MT",-27.7403333333333,-27.5746666666667,-26.0353333333333,-26.213,2.14733333333333,7.59366666666667,6.859,7.72566666666667,-99.69,-121.286666666667,-149.036666666667,-113.353333333333
"21","PF",-29.0612055133333,-29.1896901666667,-28.68137517,-26.4918876966667,5.09821497066667,12.5997039033333,6.87498075633333,0.552000394,-127.49,-127.18,-95.4566666666667,-80.0666666666667
"22","PVTF",-31.7883873833333,-27.970081255,-27.9560643566667,-26.54899765,7.79877696733333,8.535984464,3.569172966,1.00862714166667,-124.57,-136.59,-100.22,-92.8733333333333
"23","SC",-28.3356666666667,-33.614,-29.1116666666667,-26.1633333333333,5.07033333333333,0.211,1.33933333333333,3.36233333333333,-123.873333333333,-116.1,-96.7633333333333,-89.3566666666667
"24","UH",NA,-34.007149415,-26.45423362,-27.37063029,NA,4.8581021985,-0.711754475333333,0.06806139975,NA,-187.72,-109.783333333333,-116.84
"25","VN",-29.72539406,NA,-28.5308266566667,-26.56084639,5.61753197233333,NA,1.531105087,1.43950836575,-167.05,NA,-110.563333333333,-96.7075
"26","WA",-26.0973740633333,-28.77320863,-24.4477226233333,-25.9119608666667,11.6559945033333,10.825194845,5.068111347,2.35157637266667,-187.603333333333,-112.855,-106.1,-104.373333333333
"27","WH",NA,-28.0354258033333,-26.3838068466667,-29.6695494925,NA,9.61807416833333,1.91229177866667,2.73721641475,NA,-134.456666666667,-94.5733333333333,-97.5375
"28","WW",-20.245,-26.609,-27.3353333333333,-26.2962222233333,5.5495,5.943,2.2,-0.136,-163.02,-94.41,-96.6666666666667,-84.7433333333333
