sitecode,sitename,Transect,Date,Time,Weather,Personnel,Latitude,Longitude,Elevation,Water Depth,Hydraulic Head,Wetted Width,Habitat,Flow,Turbidity,Canopy Cover,Dominant Substrate,Second Dominant Substrate,Woody_Debris_Substrate,Woody_Debris_Floating,Woody_Debris_Substrate,Woody_Debris_Floating,Macrophytes_Emergent,Macrophytes_Floating,Macrophytes_Submergent,Floating_Algae,Attached_Algae,Other_Algae,Ferns_Grasses,Shrubs,Deciduous_Trees,Coniferous_Trees,Crop,Notes
AT,Taylor,1,10-07-2019,9:56 AM,Sunny,"JG, IT",42.86473,81.08276,251,34,0,,Pool,Slow,Moderate,50-74%,Clay,-,0,0,1,0,0,0,2,0,1,0,Y,N,Y,N,N,
AT,Taylor,2,10-07-2019,10:17 AM,"Sunny, Hazy 26 degrees C","JG, IT",42.86508,81.08218,249,10,0,113,Riffle,Slow,Moderate,25-49%,Clay,-,0,0,0,0,0,0,0,0,1,0,Y,,,,,
AT,Taylor,3,10-07-2019,10:35 AM,Sunny,"JG, IT",42.86531,81.08157,243,23,0,94,Riffle,Slow,Moderate,75-100%,Clay,-,0,0,0,0,0,0,0,0,1,0,Y,N,Y,N,N,
AT,Taylor,4,10-07-2019,10:53 AM,Sunny 27 degrees C,"JG, IT",42.86535,81.08099,265,14.5,0.5,97,Riffle,Slow,Moderate,25-49%,Clay,-,0,0,0,0,0,0,1,0,2,0,Y,N,N,N,N,
EP1,Perl 1,1,10-07-2019,12:52 PM,Sunny,"JG, IT",42.87546,81.09948,,12,0.5,550,Riffle,Medium,Moderate,75-100%,Boulder,Clay,0,0,0,0,0,0,0,0,0,0,Y,N,Y,N,N,
EP1,Perl 1,2,10-07-2019,12:38 PM,Sunny 29 degrees C,"JG, IT",42.87548,81.09907,249,53,0,750,Riffle,Medium,Murky,50-74%,Cobble,Clay(hard),0,0,0,0,0,0,0,0,0,0,Y,N,Y,N,N,
EP1,Perl 1,3,10-07-2019,12:23 PM,,"JG, IT",42.87561,81.09869,244,22,0,600,Riffle,Medium,Moderate,0-24%,Boulder,Cobble,0,0,0,0,0,0,0,0,0,0,Y,Y,Y,N,N,
EP1,Perl 1,4,10-07-2019,12:06 PM,"Sunny, Hazy 29 degrees C","JG, IT",42.87563,81.09832,289,20,0.5,370,Riffle,Medium,Murky,75-100%,Cobble,-,0,0,0,0,0,0,0,0,1,0,Y,N,Y,N,N,
EP2,Perl 2,1,10-07-2019,13:55,Sunny 30 degrees C,"JG, IT",42.82552,81.12075,246,11,0,187,Riffle,Medium,Moderate,75-100%,Boulder,Clay(hard),0,0,1,0,0,0,0,0,1,0,Y,Y,Y,N,N,
EP2,Perl 2,2,10-07-2019,2:15 PM,Sunny,"JG, IT",42.82555,81.1208,242,10.5,0,163,Riffle,Medium,Moderate,75-100%,Cobble,Sand,1,1,1,1,0,0,0,0,0,0,Y,Y,Y,N,N,
