"","X.x","old.sampleid.x","sampleid","replicate","sitecode.x","species.x","role.x","delta13c","delta15n","c_n_ratio","old.sampleid.y","sitename.x","sitecode.y","species.y","role.y","delta2h","ampl","p_h","delta13c_norm","d13c_algae","d13c_aqbase","d13c_det","d13c_norm_algae","d13c_norm_aqbase","d13c_norm_det","d13c_norm_terbase","d13c_terbase","d15n_algae","d15n_aqbase","d15n_det","d15n_terbase","dh2_algae","dh2_aqbase","dh2_det","dh2_terbase","ter_energy_pp","ter_energy_sc","tp_1_algae","tp_1_det","tp_1_terbase","tp_1_aqbase","tp_2_pp","tp_2_sc","c_ter_energy_pp","c_ter_energy_sc","c_tp_1_algae","c_tp_1_det","c_tp_1_terbase","c_tp_1_aqbase","c_tp_2_pp","c_tp_2_sc","pc1","adj_pc1","pc2","adj_pc2","s_diversity","peilou_evenness","species_richness","rock.bass","blacknose.dace","blackside.darter","bluntnose.minnow","brook.stickleback","brown.trout","central.mudminnow","common.carp","common.shiner","creek.chub","fathead.minnow","johnny.darter","largemouth.bass","least.darter","longnose.dace","mottled.sculpin","northern.hog.sucker","northern.redbelly.dace","pumpkinseed","rainbow.trout","smallmouth.bass","stonecat","unknown","white.sucker","yellow.perch","white.crappie","mad.tom.sp.","ter_energy_pp_0_1","sitecode","sitename.y","pass","species","number","forkmm","totalmm","weight","kept","sex","stomach","stomachsource","notes","X.y","X.1"
"1",6,"AC-S18-212-1","AC-S18-212-1",0,"AC","creek chub","cc",-26.388,15.105,3.335764091,"AC-S18-212-1","Archie Coulter","AC","creek chub","cc",-109.66,14243,7,-26.40559354991,-18.46317496,-28.92846499,-28.3510842766667,-10.3836179802,-26.81579131566,-7.92299278866667,-25.328956666975,-26.85641291,14.0646745133333,13.136065225,6.47783804733333,-2.439897695,-155.7,-125.93,-115.23,-79.895,"1.13763281443044",0.353426740523515,1.30597808431373,3.53740057431373,7.16026402794118,2.57909846323529,3.84451753179581,4.19820487656786,-6.51134338737951,0.275886606565693,-3.71234575579706,-4.43605904742451,1.68334209325441,2.12064640169118,13.2089981029147,14.2089981029147,-1.88647,0,0.84226,3.37482,1.574103,0.8785236,6,6,0,4,0,0,0,0,0,1,6,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"AC","Archie Coulter","1","creek chub","1","47",49,1.5,"Y","M","detritus","aquatic","EC","",""
"2",NA,NA,"AC-S18-311-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","1","rock bass","1","84",86,12.5,"N","","","","","",""
"3",NA,NA,"AC-S18-311-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","1","rock bass","2","51",53,4,"N","","","","","",""
"4",NA,NA,"AC-S18-344-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","1","blackside darter","1","",76,5.5,"Y","F","detritus","aquatic","EC","",""
"5",NA,NA,"AC-S18-341-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","1","johnny darter","1","",35,0.5,"N","","","","","",""
"6",NA,NA,"AC-S18-311-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","2","rock bass","3","",25,0.5,"N","","","","","",""
"7",NA,NA,"AC-S18-344-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","1","blackside darter","2","",60,2,"Y","F","detritus","aquatic","EC","",""
"8",NA,NA,"AC-S18-341-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","1","johnny darter","2","",35,0.5,"N","","","","","",""
"9",NA,NA,"AC-S18-344-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","1","blackside darter","3","",60,2,"Y","F","algae/detritus","aquatic","EC","",""
"10",NA,NA,"AC-S18-341-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","1","johnny darter","3","",40,0.5,"N","","","","","",""
