name,tp,common_length,sci_name
blacknose.dace,3.05,5.7,Rhinichthys atratulus
blackside.darter,3.95,5.85,Percina maculata
bluegill,3.53,19.05,Lepomis macrochirus
bluntnose.minnow,2.41,6.5,Pimephales notatus
brook.stickleback,3.29,5,Culaea inconstans
brown.trout,3.4,40,Salmo trutta
central.mudminnow,3.53,8.15,Umbra limi
common.carp,3.05,31,Cyprinus carpio
common.shiner,2.87,8.3,Luxilus cornutus
creek.chub,3.21,19.1,Semotilus atromaculatus
golden.shiner,2.62,14.35,Notemigonus crysoleucas
johnny.darter,3.19,3.9,Etheostoma nigrum
lake.chub,3.4,15,Couesius plumbeus
largemouth.bass,4.42,40,Micropterus salmoides
least.darter,3.5,3.1,Etheostoma microperca
log.perch,3.43,12.5,Percina caprodes
longnose.dace,3.2,9.45,Rhinichthys cataractae
mad.tom.sp.,,,
mottled.sculpin,3.29,8.4,Cottus bairdii
northern.hog.sucker,3.3,29.75,Hypentelium nigricans
northern.redbelly.dace,3.05,4.75,Chrosomus eos
pumpkinseed,3.27,9.9,Lepomis gibbosus
rainbow.darter,3.3,5.25,Etheostoma caeruleum
rainbow.trout,3.53,60,Oncorhynchus mykiss
rock.bass,3.33,15.4,Ambloplites rupestris
smallmouth.bass,4.09,8,Micropterus dolomieu
stonecat,3.24,13.2,Noturus flavus
unknown,,,
unknown.cyprinid,,,
white.crappie,3.81,25,Pomoxis annularis
white.sucker,2.46,40.65,Catostomus commersonii
yellow.perch,3.36,19.1,Perca flavescens
