sitecode,sitename,totalcount,p_p_diptera,p_hemiptera,p_coleoptera,p_aranae,p_lepidoptera,p_unknown,p_hymenoptera,p_stylommatophora,p_trichoptera,p_orthoptera,p_diplopoda,p_psocoptera,p_opiliones,p_odonata,p_acari,p_neuroptera,p_mantodea,p_dermaptera,p_collembola,p_mecoptera,p_isopoda,pphasmatodea,p_plecoptera,p_ephemeroptera,p_thysanoptera
WA,Watson,87,25.28735632,37.93103448,10.34482759,20.68965517,4.597701149,1.149425287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WH,Washington,157,33.75796178,19.74522293,7.643312102,8.280254777,5.732484076,0,5.095541401,19.10828025,0.636942675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VN,VanDenNest,103,32.03883495,25.24271845,5.825242718,2.912621359,4.854368932,0,13.59223301,0,1.941747573,3.883495146,0.970873786,0.970873786,7.766990291,0,0,0,0,0,0,0,0,0,0,0,0
UH,Underhill,117,28.20512821,18.8034188,5.128205128,25.64102564,4.273504274,0,9.401709402,3.418803419,0,0.854700855,0,0,2.564102564,0.854700855,0.854700855,0,0,0,0,0,0,0,0,0,0
AT,Taylor,123,17.07317073,26.82926829,24.3902439,3.25203252,4.87804878,0,4.87804878,2.43902439,0,14.63414634,0,0,0.81300813,0,0,0.81300813,0,0,0,0,0,0,0,0,0
P3,Perl 3,118,14.40677966,10.16949153,33.89830508,1.694915254,4.237288136,0,7.627118644,0,2.542372881,22.88135593,0,0,0,0,0,0,1.694915254,0.847457627,0,0,0,0,0,0,0
P2,Perl 2,118,19.49152542,25.42372881,14.40677966,4.237288136,2.542372881,0,19.49152542,3.389830508,0,5.93220339,0,0,3.389830508,0,0,0,0.847457627,0,0.847457627,0,0,0,0,0,0
P1,Perl 1,121,6.611570248,38.84297521,9.917355372,4.958677686,2.479338843,0.826446281,2.479338843,23.14049587,0.826446281,1.652892562,0,0,1.652892562,0.826446281,0,0,0,0.826446281,0,0.826446281,4.132231405,0,0,0,0
PF,Parrish,144,12.5,20.83333333,29.86111111,6.25,8.333333333,0,11.80555556,0.694444444,0,4.166666667,0.694444444,0,2.777777778,0,0,0,0,0.694444444,1.388888889,0,0,0,0,0,0
MT,McTavish,122,31.14754098,10.6557377,16.39344262,18.85245902,4.098360656,0,16.39344262,0,0,0.819672131,0,0,1.639344262,0,0,0,0,0,0,0,0,0,0,0,0
EF,Lake Erie Farms,101,14.85148515,40.59405941,10.89108911,7.920792079,7.920792079,0,5.940594059,0,0,7.920792079,0,0,1.98019802,0,0,0,0,0,0,0,0,0.99009901,0.99009901,0,0
KC,Kettle Creek,136,20.58823529,16.91176471,13.97058824,9.558823529,4.411764706,0,24.26470588,4.411764706,0,1.470588235,2.941176471,0,0.735294118,0,0,0,0,0.735294118,0,0,0,0,0,0,0
HT,Hawkins,100,18,28,25,3,6,0,3,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HC,Hawkcliff,122,18.03278689,27.86885246,4.098360656,13.1147541,4.098360656,4.098360656,15.57377049,0,0,4.098360656,0,4.098360656,2.459016393,0.819672131,0,0,0,0,0,0.819672131,0,0,0,0.819672131,0
GF,Garrod,118,15.25423729,16.10169492,10.16949153,27.96610169,7.627118644,0,15.25423729,3.389830508,0,2.542372881,0,0,0,0.847457627,0,0,0,0.847457627,0,0,0,0,0,0,0
FP,Five Points,106,42.45283019,2.830188679,7.547169811,13.20754717,1.886792453,0.943396226,19.81132075,0,0,0,0,0,3.773584906,0,6.603773585,0,0,0,0,0,0,0,0,0,0.943396226
P4,Perl 4,101,20.79207921,21.78217822,17.82178218,6.930693069,3.96039604,0,12.87128713,0,0,12.87128713,0,0,0.99009901,0,0,0,0,0.99009901,0,0.99009901,0,0,0,0,0
JC,Csoff,124,72.58064516,4.032258065,6.451612903,2.419354839,4.032258065,0,5.64516129,0,0,0,0,0.806451613,1.612903226,0.806451613,1.612903226,0,0,0,0,0,0,0,0,0,0
SC,Caughell,131,16.03053435,27.48091603,13.74045802,9.160305344,9.160305344,0,14.50381679,4.580152672,0,2.290076336,0,0,3.053435115,0,0,0,0,0,0,0,0,0,0,0,0
BS,Stewart,76,15.78947368,23.68421053,3.947368421,21.05263158,7.894736842,0,5.263157895,1.315789474,0,1.315789474,0,0,15.78947368,1.315789474,0,0,0,0,0,1.315789474,0,0,0,1.315789474,0
BW,Backus,66,30.3030303,24.24242424,12.12121212,6.060606061,3.03030303,0,6.060606061,0,0,4.545454545,0,0,6.060606061,4.545454545,0,1.515151515,0,0,0,1.515151515,0,0,0,0,0
BG,Gilvesy,86,13.95348837,23.25581395,6.976744186,33.72093023,9.302325581,1.162790698,5.813953488,3.488372093,0,0,0,0,0,0,0,0,0,0,2.325581395,0,0,0,0,0,0
WW,Wardsville,90,10,31.11111111,5.555555556,18.88888889,7.777777778,0,5.555555556,5.555555556,0,10,0,0,0,0,0,0,0,0,1.111111111,0,4.444444444,0,0,0,0
JW,White,156,23.71794872,25.64102564,4.487179487,21.79487179,0.641025641,0,13.46153846,6.41025641,0,2.564102564,0,0.641025641,0,0.641025641,0,0,0,0,0,0,0,0,0,0,0
AC,Archie Coulter,194,11.34020619,27.83505155,29.89690722,5.154639175,3.092783505,0,11.8556701,4.12371134,0,1.030927835,1.030927835,0,1.546391753,0,0,0,0,1.030927835,0,0,2.06185567,0,0,0,0
PV,Pleasant Valley Trout Farm,134,11.94029851,38.80597015,15.67164179,2.985074627,2.985074627,0,12.68656716,6.71641791,0,1.492537313,0.746268657,0,2.985074627,0.746268657,0,0,0,0.746268657,0,0.746268657,0,0.746268657,0,0,0
ST,Lake Erie Salmon Trout,90,20,22.22222222,2.222222222,14.44444444,6.666666667,0,15.55555556,1.111111111,0,1.111111111,2.222222222,0,13.33333333,0,0,0,0,1.111111111,0,0,0,0,0,0,0
DE,Dedricks,106,13.20754717,36.79245283,8.490566038,17.9245283,4.716981132,0,12.26415094,0,0,0.943396226,3.773584906,0,0.943396226,0,0,0,0,0,0,0,0.943396226,0,0,0,0
