"sitecode","lat","long"
"AC",42.76388,-81.06083
"AT",42.8638,-81.0836
"BG",42.80164,-80.684
"BS",42.78823,-80.7876
"BW",42.65916,-80.4676
"DE",42.65916,-80.4676
"EP1",42.875,-81.098333
"EP2",42.8258333,-81.1202777
"EP3",42.812568,-81.162518
"EP4",42.809468,-81.180463
"FP",42.995833,-80.926111
"GF",42.75055,-81.06
"HC",42.668601,-81.179537
"HT",42.853727,-80.82142
"JC",42.87314,-80.5436
"JW",42.75722,-81.0625
"KC",42.82718,-81.1471
"LEF",42.65954,-80.5669
"LEST",42.68,-81.23
"MT",43.380277,-80.84333
"PF",42.841388,-80.995833
"PVTF",42.7097,-81.05527
"SC",42.61735,-81.4682
"UH",42.67777,-80.80861
"VN",42.7819,-80.79972
"WA",42.82023,-80.6831
"WH",43.30021,-80.5602
"WW",42.653333,-81.76555
